                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7069,                 1.6275,                  1.872,                 0.4788,                0.27313,                0.24032,                0.11492,                 1.9582,                 1.9778,                 2.5299,             0.00098775,             0.00098775,             0.00098775
                     34,                 1.6756,                 1.6198,                 1.8522,                0.57484,                0.28331,                 0.2619,                0.11141,                 1.9028,                 2.1847,                 2.4507,             0.00097955,             0.00097955,             0.00097955
                     35,                   1.64,                 1.5736,                 1.8098,                0.55993,                0.32009,                0.27809,                0.13564,                 1.8725,                 1.9059,                 2.4637,             0.00097136,             0.00097136,             0.00097136
                     36,                 1.6893,                 1.5968,                 1.8545,                0.61511,                 0.4016,                0.33689,                0.14015,                  1.935,                 1.8924,                 2.5139,             0.00096316,             0.00096316,             0.00096316
                     37,                 1.6461,                 1.5439,                 1.7972,                0.51969,                0.36091,                0.31188,                0.14907,                 1.8784,                  1.768,                 2.4686,             0.00095497,             0.00095497,             0.00095497
                     38,                 1.6218,                 1.5085,                 1.8088,                0.57206,                0.31359,                0.30051,                0.13995,                 1.9379,                 1.9929,                 2.4817,             0.00094677,             0.00094677,             0.00094677
                     39,                 1.6018,                 1.4745,                 1.7716,                0.53845,                0.38519,                0.32671,                0.16006,                 1.8438,                 1.7562,                 2.4319,             0.00093858,             0.00093858,             0.00093858
                     40,                 1.5945,                 1.4713,                 1.7597,                0.57865,                0.44488,                0.31722,                0.14904,                 1.9732,                 1.8022,                 2.4789,             0.00093038,             0.00093038,             0.00093038
                     41,                 1.6184,                 1.5024,                 1.7905,                0.54354,                0.38814,                0.32157,                0.16853,                 1.7911,                 1.8399,                  2.376,             0.00092219,             0.00092219,             0.00092219
                     42,                 1.6104,                 1.4811,                 1.7825,                0.64191,                0.30958,                0.33483,                0.16018,                 1.8334,                 1.7485,                 2.4075,             0.00091399,             0.00091399,             0.00091399
                     43,                 1.6184,                 1.4617,                  1.761,                0.59496,                0.34627,                0.32141,                0.15512,                 1.8866,                 1.7226,                 2.4645,             0.00090579,             0.00090579,             0.00090579
                     44,                 1.5723,                   1.44,                 1.7646,                0.60338,                  0.417,                0.34752,                0.15409,                 1.9028,                 1.7856,                  2.464,              0.0008976,              0.0008976,              0.0008976
                     45,                 1.5617,                 1.3948,                 1.7338,                0.60986,                0.40872,                0.34791,                0.15403,                 1.9175,                 1.8407,                  2.483,              0.0008894,              0.0008894,              0.0008894
                     46,                 1.5608,                 1.4528,                 1.7469,                 0.6447,                0.34543,                0.35946,                0.16676,                 1.8781,                 1.8001,                  2.463,             0.00088121,             0.00088121,             0.00088121
                     47,                 1.5601,                 1.4159,                 1.7505,                0.65123,                0.36912,                0.36275,                0.17891,                 1.8564,                 1.8299,                 2.4012,             0.00087301,             0.00087301,             0.00087301
                     48,                 1.5431,                 1.3529,                 1.7206,                0.74065,                0.31616,                0.38734,                0.19038,                 1.8188,                 1.7124,                 2.4319,             0.00086482,             0.00086482,             0.00086482
                     49,                 1.5008,                 1.3359,                 1.7115,                0.65104,                0.42509,                0.38171,                0.17197,                  1.912,                 1.6703,                 2.5101,             0.00085662,             0.00085662,             0.00085662
                     50,                 1.5072,                 1.3629,                 1.7112,                0.62339,                0.34819,                0.34908,                0.17023,                 1.8322,                 1.7127,                 2.4843,             0.00084843,             0.00084843,             0.00084843
                     51,                 1.4946,                 1.3267,                 1.6841,                0.64192,                0.35729,                0.36578,                0.17418,                 1.7879,                 1.7842,                 2.3979,             0.00084023,             0.00084023,             0.00084023
                     52,                 1.5176,                 1.3426,                 1.7048,                0.61795,                0.34861,                0.36103,                 0.1785,                 1.8456,                 1.7296,                 2.4666,             0.00083204,             0.00083204,             0.00083204
                     53,                 1.5027,                 1.2989,                 1.6645,                0.66287,                0.36114,                0.36062,                0.16291,                  1.891,                 1.7504,                 2.4848,             0.00082384,             0.00082384,             0.00082384
                     54,                 1.4951,                 1.3396,                  1.685,                0.61708,                0.36665,                0.32283,                0.14113,                 1.9557,                 1.8437,                 2.5654,             0.00081565,             0.00081565,             0.00081565
                     55,                 1.4663,                 1.2941,                  1.658,                0.61267,                0.39559,                0.34992,                0.16079,                 1.8622,                 1.7649,                 2.4888,             0.00080745,             0.00080745,             0.00080745
                     56,                 1.4764,                 1.2955,                 1.6698,                0.58031,                0.39045,                 0.3368,                0.16185,                 1.9403,                 1.7601,                  2.512,             0.00079925,             0.00079925,             0.00079925
                     57,                 1.4388,                  1.269,                 1.6775,                0.61714,                0.34228,                0.29379,                0.15613,                 1.8956,                 1.7384,                 2.5383,             0.00079106,             0.00079106,             0.00079106
                     58,                 1.4292,                 1.2766,                 1.6361,                0.56957,                0.36743,                0.32348,                0.14942,                 1.8563,                 1.8673,                 2.4987,             0.00078286,             0.00078286,             0.00078286
                     59,                 1.4571,                  1.294,                  1.657,                0.62173,                0.33314,                0.33937,                0.15992,                 1.8696,                 1.7283,                 2.5019,             0.00077467,             0.00077467,             0.00077467
                     60,                 1.4232,                 1.2392,                 1.6287,                0.56138,                0.37438,                0.31188,                0.14594,                 1.9511,                 1.8592,                 2.5621,             0.00076647,             0.00076647,             0.00076647
                     61,                 1.4532,                 1.2872,                 1.6585,                0.61466,                0.43085,                0.37977,                0.18808,                 1.8074,                 1.5729,                 2.4551,             0.00075828,             0.00075828,             0.00075828
                     62,                 1.4123,                 1.2321,                 1.5999,                0.39543,                 0.4186,                0.37702,                0.18855,                 1.8655,                 1.6064,                 2.4868,             0.00075008,             0.00075008,             0.00075008
                     63,                  1.426,                 1.2361,                 1.6374,                0.56713,                0.33731,                0.29479,                0.13013,                 1.9982,                 1.8209,                 2.6491,             0.00074189,             0.00074189,             0.00074189
                     64,                 1.4087,                 1.1951,                 1.6247,                0.67395,                0.38809,                0.37707,                0.19374,                 1.8724,                 1.6813,                 2.4924,             0.00073369,             0.00073369,             0.00073369
                     65,                 1.3769,                 1.1921,                 1.6166,                0.62498,                0.29301,                0.34037,                 0.1734,                 1.9037,                  1.774,                 2.5332,              0.0007255,              0.0007255,              0.0007255
                     66,                 1.3927,                 1.1731,                 1.5916,                 0.6289,                0.38857,                0.36203,                0.18009,                  1.916,                 1.6837,                 2.5153,              0.0007173,              0.0007173,              0.0007173
                     67,                 1.3651,                 1.1577,                 1.5986,                0.65397,                 0.4153,                0.38666,                0.19449,                  1.872,                 1.5985,                 2.5394,             0.00070911,             0.00070911,             0.00070911
                     68,                 1.3738,                 1.1608,                 1.6024,                0.46041,                 0.3843,                0.39611,                0.18394,                 1.9129,                 1.6582,                 2.5671,             0.00070091,             0.00070091,             0.00070091
                     69,                 1.3659,                 1.1591,                 1.5835,                0.67666,                0.41306,                0.37952,                 0.1897,                 1.8472,                 1.7065,                 2.5564,             0.00069272,             0.00069272,             0.00069272
                     70,                 1.3853,                 1.1544,                  1.589,                0.63378,                0.38088,                0.37181,                0.18947,                 1.8547,                 1.6352,                 2.4884,             0.00068452,             0.00068452,             0.00068452
                     71,                 1.3589,                 1.1576,                 1.5628,                0.65256,                 0.3747,                0.38904,                0.18864,                 1.8444,                 1.6599,                 2.5164,             0.00067632,             0.00067632,             0.00067632
                     72,                 1.3576,                  1.133,                  1.541,                0.75355,                 0.3716,                0.39297,                0.18791,                 1.8768,                 1.5729,                 2.5184,             0.00066813,             0.00066813,             0.00066813
                     73,                 1.3271,                 1.0726,                 1.5394,                0.65062,                0.43752,                0.40669,                0.19317,                 1.8741,                 1.6831,                 2.4897,             0.00065993,             0.00065993,             0.00065993
                     74,                 1.3423,                 1.1228,                 1.5712,                0.69722,                0.45001,                0.39573,                0.19146,                  1.891,                 1.5562,                 2.5155,             0.00065174,             0.00065174,             0.00065174
                     75,                 1.3157,                 1.1017,                 1.5234,                0.68951,                 0.3792,                0.40202,                0.18266,                 1.9302,                 1.6186,                 2.6248,             0.00064354,             0.00064354,             0.00064354
                     76,                 1.3146,                 1.0853,                 1.5375,                0.73798,                0.42929,                0.42083,                0.19414,                 1.8874,                 1.5812,                 2.5178,             0.00063535,             0.00063535,             0.00063535
                     77,                 1.3377,                 1.0851,                 1.5403,                0.77809,                0.38369,                0.41004,                0.19559,                 1.8863,                 1.5527,                  2.559,             0.00062715,             0.00062715,             0.00062715
                     78,                 1.2907,                 1.1381,                 1.5285,                0.67822,                0.42704,                0.38708,                0.17553,                 1.9683,                 1.5942,                 2.6054,             0.00061896,             0.00061896,             0.00061896
                     79,                 1.2924,                 1.0797,                  1.531,                0.68738,                 0.4178,                 0.4007,                0.19389,                 1.8675,                 1.7491,                   2.56,             0.00061076,             0.00061076,             0.00061076
                     80,                 1.2804,                 1.0686,                  1.528,                0.58217,                0.45319,                0.38991,                0.18573,                  1.868,                 1.5753,                  2.517,             0.00060257,             0.00060257,             0.00060257
                     81,                   1.29,                 1.0559,                 1.5408,                0.72529,                0.40938,                0.39145,                0.18185,                 1.8919,                 1.6446,                 2.5253,             0.00059437,             0.00059437,             0.00059437
                     82,                 1.2638,                 1.0527,                 1.5079,                0.71455,                0.40496,                0.38812,                0.17839,                 1.9093,                 1.6253,                 2.6146,             0.00058618,             0.00058618,             0.00058618
                     83,                 1.2402,                 1.0145,                 1.5031,                0.67916,                0.45002,                0.41113,                0.19943,                 1.8014,                 1.5776,                 2.5416,             0.00057798,             0.00057798,             0.00057798
                     84,                 1.2647,                 1.0416,                 1.5012,                0.67322,                0.39198,                0.38914,                0.18267,                 1.8807,                 1.7026,                 2.6194,             0.00056978,             0.00056978,             0.00056978
                     85,                 1.2511,                 1.0407,                 1.5067,                0.68755,                0.39224,                0.38587,                0.17659,                  1.936,                 1.7344,                 2.6221,             0.00056159,             0.00056159,             0.00056159
                     86,                 1.2556,                 1.0219,                 1.5059,                 0.7489,                0.33455,                0.39338,                0.19551,                 1.8903,                 1.5749,                 2.6056,             0.00055339,             0.00055339,             0.00055339
                     87,                 1.2512,                 1.0086,                 1.4937,                0.69619,                0.42436,                0.41302,                0.18288,                 1.9501,                 1.6302,                 2.7161,              0.0005452,              0.0005452,              0.0005452
                     88,                 1.2182,                0.98303,                 1.4619,                 0.6972,                 0.4398,                0.42744,                0.19801,                 1.8877,                 1.5214,                 2.6612,               0.000537,               0.000537,               0.000537
                     89,                  1.222,                0.97217,                 1.4565,                0.63617,                0.36593,                0.33896,                0.16085,                 1.9156,                 1.8381,                   2.63,             0.00052881,             0.00052881,             0.00052881
                     90,                 1.2059,                0.95551,                 1.4437,                0.74091,                0.36188,                0.39609,                0.18208,                 1.9211,                 1.7194,                 2.6666,             0.00052061,             0.00052061,             0.00052061
                     91,                 1.2232,                0.97631,                  1.471,                0.64817,                 0.4048,                0.38398,                0.18844,                 1.9224,                 1.6018,                 2.6711,             0.00051242,             0.00051242,             0.00051242
                     92,                 1.2245,                0.97386,                 1.4697,                0.65915,                0.39934,                0.39082,                0.18357,                 1.9355,                 1.6835,                 2.6556,             0.00050422,             0.00050422,             0.00050422
                     93,                 1.2027,                0.94421,                  1.454,                0.67556,                0.38174,                0.37513,                0.17635,                 1.9019,                 1.6615,                 2.6767,             0.00049603,             0.00049603,             0.00049603
                     94,                 1.2276,                0.98052,                 1.4676,                0.64987,                0.38079,                0.35895,                0.17682,                 1.9199,                 1.6705,                  2.652,             0.00048783,             0.00048783,             0.00048783
                     95,                 1.2004,                0.94525,                 1.4468,                0.69254,                0.35591,                0.35665,                0.18561,                 1.8889,                 1.6897,                 2.6482,             0.00047964,             0.00047964,             0.00047964
                     96,                 1.1785,                0.91861,                 1.4236,                0.72515,                0.37805,                0.40377,                0.19798,                 1.8306,                 1.6387,                 2.5333,             0.00047144,             0.00047144,             0.00047144
                     97,                 1.2024,                0.95251,                 1.4456,                0.63428,                0.37203,                0.37063,                0.18611,                 1.9181,                 1.6434,                 2.6672,             0.00046325,             0.00046325,             0.00046325
                     98,                 1.1772,                0.92058,                  1.435,                0.66949,                0.38075,                0.37835,                0.18466,                 1.9116,                 1.7339,                 2.6185,             0.00045505,             0.00045505,             0.00045505
                     99,                 1.1844,                0.96652,                 1.4332,                0.62934,                0.40727,                0.38416,                0.19256,                 1.8839,                 1.6117,                 2.6429,             0.00044685,             0.00044685,             0.00044685
                    100,                 1.1826,                0.92581,                 1.4404,                0.70343,                0.39602,                0.39022,                0.18476,                 1.8746,                 1.6281,                 2.6307,             0.00043866,             0.00043866,             0.00043866
                    101,                 1.1557,                0.88387,                 1.4113,                0.67537,                0.40781,                0.37718,                 0.1907,                 1.9037,                 1.6958,                  2.628,             0.00043046,             0.00043046,             0.00043046
                    102,                 1.1576,                0.89889,                 1.4112,                0.70501,                0.40234,                0.39933,                0.19376,                 1.8888,                 1.5962,                 2.6911,             0.00042227,             0.00042227,             0.00042227
                    103,                 1.1611,                 0.8918,                 1.4091,                0.76007,                0.35645,                0.39581,                0.18916,                 1.8963,                 1.5994,                 2.6321,             0.00041407,             0.00041407,             0.00041407
                    104,                 1.1412,                0.87459,                  1.395,                0.66407,                0.45756,                0.41513,                0.20162,                 1.9314,                 1.6236,                 2.6722,             0.00040588,             0.00040588,             0.00040588
                    105,                 1.1503,                0.91533,                  1.405,                0.60188,                0.40464,                0.38029,                0.19005,                 1.8671,                  1.693,                 2.6956,             0.00039768,             0.00039768,             0.00039768
                    106,                 1.1444,                0.86732,                 1.4132,                 0.6137,                 0.4202,                0.36413,                0.19196,                 1.8421,                 1.6158,                 2.6069,             0.00038949,             0.00038949,             0.00038949
                    107,                 1.1206,                0.88443,                 1.3955,                0.66904,                  0.406,                0.37053,                0.19001,                 1.9158,                 1.6525,                 2.6995,             0.00038129,             0.00038129,             0.00038129
                    108,                 1.1425,                0.89726,                 1.4038,                  0.692,                0.41166,                0.40312,                0.19804,                 1.8703,                 1.5494,                 2.6721,              0.0003731,              0.0003731,              0.0003731
                    109,                 1.1126,                0.87727,                 1.3843,                0.65858,                0.37955,                0.38203,                0.19359,                 1.8506,                 1.6131,                 2.6649,              0.0003649,              0.0003649,              0.0003649
                    110,                 1.1303,                0.87369,                 1.3866,                0.74808,                0.35803,                0.39726,                 0.1958,                 1.9257,                 1.5608,                 2.7366,             0.00035671,             0.00035671,             0.00035671
                    111,                 1.1099,                0.86032,                 1.3624,                0.79118,                0.32781,                0.40451,                0.19934,                 1.8963,                  1.599,                 2.7088,             0.00034851,             0.00034851,             0.00034851
                    112,                 1.1124,                0.84196,                 1.3835,                0.65435,                0.42046,                0.38738,                0.19359,                 1.9082,                 1.6119,                 2.7552,             0.00034031,             0.00034031,             0.00034031
                    113,                 1.0973,                0.85177,                 1.3925,                0.71918,                0.38891,                  0.409,                0.20201,                 1.8771,                 1.6323,                  2.703,             0.00033212,             0.00033212,             0.00033212
                    114,                 1.0981,                0.81169,                 1.3617,                0.68748,                0.42024,                0.39834,                0.18994,                 1.9245,                 1.5034,                 2.8065,             0.00032392,             0.00032392,             0.00032392
                    115,                 1.0998,                0.83491,                 1.3668,                0.69455,                0.39376,                0.39452,                0.19094,                 1.9379,                 1.7031,                 2.8052,             0.00031573,             0.00031573,             0.00031573
                    116,                 1.1072,                0.82554,                 1.3715,                0.65772,                0.43774,                0.37926,                 0.1956,                 1.9071,                 1.6075,                 2.7998,             0.00030753,             0.00030753,             0.00030753
                    117,                 1.0845,                0.82146,                 1.3371,                0.69456,                0.44027,                0.40815,                 0.1979,                 1.9521,                 1.6479,                 2.8159,             0.00029934,             0.00029934,             0.00029934
                    118,                 1.0675,                0.81481,                 1.3614,                0.67947,                0.36433,                0.37629,                0.19338,                  1.897,                 1.6784,                 2.8041,             0.00029114,             0.00029114,             0.00029114
                    119,                  1.094,                0.81642,                 1.3415,                0.73225,                0.35665,                0.37685,                0.19111,                 1.9437,                   1.68,                 2.8175,             0.00028295,             0.00028295,             0.00028295
                    120,                  1.048,                0.79061,                 1.3302,                0.65529,                0.41223,                0.39791,                0.19932,                 1.9134,                 1.6451,                 2.8028,             0.00027475,             0.00027475,             0.00027475
                    121,                 1.0607,                 0.7994,                 1.3382,                 0.6764,                0.40844,                0.38893,                0.18796,                 1.9682,                  1.729,                 2.8157,             0.00026656,             0.00026656,             0.00026656
                    122,                 1.0734,                0.80462,                 1.3448,                0.60852,                0.45641,                0.37008,                0.19017,                 1.9043,                  1.692,                 2.7651,             0.00025836,             0.00025836,             0.00025836
                    123,                 1.0496,                0.77779,                 1.3148,                0.71654,                0.40494,                 0.4108,                0.19976,                 1.8922,                 1.5349,                 2.8144,             0.00025017,             0.00025017,             0.00025017
                    124,                 1.0648,                0.79608,                 1.3292,                0.65736,                0.41416,                 0.3877,                0.19031,                 1.9165,                 1.6088,                 2.8178,             0.00024197,             0.00024197,             0.00024197
                    125,                 1.0536,                0.77146,                 1.3389,                0.67951,                0.36902,                0.38023,                0.19057,                 1.9405,                  1.612,                 2.8764,             0.00023377,             0.00023377,             0.00023377
                    126,                  1.069,                0.80302,                  1.342,                 0.6527,                0.44282,                0.40675,                0.19364,                 1.9296,                 1.5703,                  2.819,             0.00022558,             0.00022558,             0.00022558
                    127,                 1.0654,                0.77805,                 1.3326,                0.70767,                0.36916,                0.38745,                0.19052,                 1.9468,                 1.6622,                 2.8164,             0.00021738,             0.00021738,             0.00021738
                    128,                 1.0122,                0.74684,                 1.3046,                0.63165,                0.39103,                0.38452,                 0.1909,                 1.9033,                 1.6054,                 2.7705,             0.00020919,             0.00020919,             0.00020919
                    129,                 1.0084,                 0.7691,                 1.3195,                0.71438,                0.39225,                0.40193,                0.18682,                 1.9393,                 1.6644,                 2.8131,             0.00020099,             0.00020099,             0.00020099
                    130,                 1.0241,                0.74382,                 1.2986,                0.66416,                0.44787,                0.40909,                0.19609,                 1.9262,                 1.6273,                 2.7672,              0.0001928,              0.0001928,              0.0001928
                    131,                 1.0062,                0.75061,                 1.3117,                0.62534,                0.48155,                 0.4009,                0.20063,                 1.8868,                 1.5405,                 2.8009,              0.0001846,              0.0001846,              0.0001846
                    132,                 1.0241,                0.76815,                 1.3384,                0.70726,                0.42898,                0.41198,                0.19794,                 1.9138,                 1.5917,                 2.8247,             0.00017641,             0.00017641,             0.00017641
                    133,                 1.0233,                 0.7675,                 1.3206,                0.67741,                0.43443,                0.39495,                0.19619,                 1.9132,                 1.7143,                 2.7873,             0.00016821,             0.00016821,             0.00016821
                    134,                 1.0032,                0.74758,                 1.2937,                0.69959,                0.42981,                0.40873,                0.20009,                 1.8907,                 1.5582,                 2.7889,             0.00016002,             0.00016002,             0.00016002
                    135,                0.98559,                0.75029,                 1.2915,                0.73055,                 0.4169,                0.41407,                0.19955,                 1.9169,                 1.6816,                 2.8394,             0.00015182,             0.00015182,             0.00015182
                    136,                 1.0182,                0.75295,                 1.3154,                0.67964,                0.45791,                0.39627,                0.19847,                 1.9202,                 1.5863,                 2.8627,             0.00014363,             0.00014363,             0.00014363
                    137,                0.99201,                0.76001,                  1.304,                0.70385,                 0.3994,                0.40532,                0.20013,                 1.9253,                 1.5879,                 2.8053,             0.00013543,             0.00013543,             0.00013543
                    138,                 1.0202,                0.75198,                  1.311,                0.67095,                0.44723,                0.40371,                0.19824,                 1.9154,                  1.628,                 2.7972,             0.00012724,             0.00012724,             0.00012724
                    139,                0.99497,                 0.7336,                  1.286,                0.70825,                0.42367,                0.40951,                0.19459,                 1.9199,                 1.6649,                 2.8545,             0.00011904,             0.00011904,             0.00011904
                    140,                 0.9748,                0.72142,                 1.2758,                0.68758,                0.44087,                0.40285,                0.19805,                 1.9093,                 1.6643,                 2.8575,             0.00011084,             0.00011084,             0.00011084
                    141,                0.93061,                0.63434,                 1.3081,                0.73598,                 0.4122,                0.42892,                0.19947,                 1.9161,                 1.6205,                  2.863,             0.00010265,             0.00010265,             0.00010265
                    142,                0.88275,                0.59581,                 1.2771,                0.71696,                0.42302,                0.41723,                0.19952,                 1.9153,                  1.564,                 2.8626,             9.4454e-05,             9.4454e-05,             9.4454e-05
                    143,                0.88147,                0.60307,                 1.2924,                0.71706,                0.40142,                0.41125,                0.20157,                 1.8888,                 1.6474,                 2.8274,             8.6258e-05,             8.6258e-05,             8.6258e-05
                    144,                0.86235,                0.57845,                  1.265,                0.67752,                0.40872,                 0.4011,                0.20194,                 1.8889,                 1.6332,                 2.8558,             7.8063e-05,             7.8063e-05,             7.8063e-05
                    145,                0.86718,                0.58805,                 1.2687,                0.71009,                0.43987,                0.42411,                0.20056,                 1.9222,                 1.6735,                 2.9018,             6.9868e-05,             6.9868e-05,             6.9868e-05
                    146,                0.86237,                0.58261,                 1.2668,                0.73299,                0.41468,                0.42101,                0.20462,                 1.9323,                 1.5938,                 2.9109,             6.1672e-05,             6.1672e-05,             6.1672e-05
                    147,                 0.8624,                0.59001,                 1.2727,                0.76978,                0.39917,                0.42205,                0.20461,                 1.9102,                 1.5935,                 2.9217,             5.3477e-05,             5.3477e-05,             5.3477e-05
                    148,                0.84829,                0.58161,                 1.2725,                0.77039,                0.38667,                0.42002,                0.20355,                 1.9007,                 1.6095,                 2.9127,             4.5281e-05,             4.5281e-05,             4.5281e-05
                    149,                0.84053,                0.58451,                 1.2469,                0.71634,                0.38212,                0.40625,                0.20346,                 1.8916,                 1.6245,                 2.8908,             3.7086e-05,             3.7086e-05,             3.7086e-05
                    150,                0.83229,                0.56385,                 1.2495,                0.69264,                0.44247,                 0.4176,                0.20539,                 1.8894,                 1.6202,                 2.9057,             2.8891e-05,             2.8891e-05,             2.8891e-05
