                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7643,                 2.8151,                 1.7895,                 0.2373,                0.13903,                0.09996,                0.05213,                 1.8488,                 2.7736,                 1.9255,               0.007902,               0.007902,               0.007902
                     34,                  1.762,                 2.8072,                 1.7913,                0.25946,                0.13729,                0.10304,                0.05373,                 1.8416,                 2.7855,                 1.9186,              0.0078364,              0.0078364,              0.0078364
                     35,                 1.7496,                 2.8039,                 1.7837,                0.26809,                0.14336,                0.10478,                0.05457,                 1.8475,                 2.7667,                 1.9136,              0.0077709,              0.0077709,              0.0077709
                     36,                 1.7556,                  2.786,                 1.7828,                0.24841,                0.14136,                0.10421,                0.05448,                 1.8346,                 2.7578,                 1.9044,              0.0077053,              0.0077053,              0.0077053
                     37,                 1.7443,                 2.7651,                 1.7772,                0.28251,                0.14597,                0.10914,                0.05695,                 1.8271,                 2.7225,                 1.9018,              0.0076397,              0.0076397,              0.0076397
                     38,                 1.7444,                 2.7667,                 1.7752,                0.26163,                0.14882,                0.11124,                0.05812,                 1.8249,                  2.704,                 1.8939,              0.0075742,              0.0075742,              0.0075742
                     39,                 1.7411,                 2.7471,                 1.7719,                0.23775,                0.15204,                0.10949,                 0.0578,                 1.8271,                 2.7179,                 1.8944,              0.0075086,              0.0075086,              0.0075086
                     40,                 1.7395,                 2.7527,                 1.7679,                0.28999,                 0.1544,                0.11598,                0.06062,                 1.8243,                 2.7022,                 1.8875,               0.007443,               0.007443,               0.007443
                     41,                 1.7322,                 2.7261,                 1.7645,                0.26337,                0.15672,                0.11608,                0.06133,                 1.8126,                 2.6778,                 1.8863,              0.0073775,              0.0073775,              0.0073775
                     42,                 1.7362,                 2.7298,                 1.7617,                0.28318,                0.14977,                0.11551,                0.06153,                 1.8171,                 2.6995,                  1.888,              0.0073119,              0.0073119,              0.0073119
                     43,                 1.7292,                 2.7203,                 1.7585,                0.26745,                0.15107,                0.11602,                0.06134,                 1.8143,                  2.676,                   1.88,              0.0072464,              0.0072464,              0.0072464
                     44,                 1.7244,                 2.6978,                 1.7509,                0.26717,                 0.1604,                0.11884,                0.06295,                 1.8033,                 2.6625,                 1.8815,              0.0071808,              0.0071808,              0.0071808
                     45,                  1.728,                  2.704,                  1.755,                0.26653,                0.15807,                0.12106,                0.06436,                 1.8023,                 2.6595,                 1.8711,              0.0071152,              0.0071152,              0.0071152
                     46,                  1.721,                  2.681,                 1.7493,                0.27311,                0.16157,                0.12165,                 0.0647,                 1.8001,                 2.6442,                  1.872,              0.0070497,              0.0070497,              0.0070497
                     47,                 1.7121,                 2.6757,                 1.7424,                0.27254,                0.16239,                0.12337,                0.06608,                 1.7986,                 2.6408,                 1.8709,              0.0069841,              0.0069841,              0.0069841
                     48,                 1.7165,                 2.6616,                 1.7445,                 0.2705,                0.16411,                0.12543,                0.06708,                 1.7962,                 2.6321,                  1.867,              0.0069185,              0.0069185,              0.0069185
                     49,                 1.7188,                 2.6747,                 1.7481,                0.25592,                0.16441,                0.12597,                0.06747,                 1.7967,                 2.6226,                 1.8665,               0.006853,               0.006853,               0.006853
                     50,                 1.7209,                 2.6615,                 1.7462,                0.26415,                0.16482,                  0.127,                0.06833,                  1.792,                 2.6224,                 1.8636,              0.0067874,              0.0067874,              0.0067874
                     51,                 1.7089,                 2.6498,                 1.7386,                0.28904,                0.16292,                0.12902,                0.06922,                 1.7897,                 2.6167,                 1.8649,              0.0067219,              0.0067219,              0.0067219
                     52,                 1.7081,                  2.638,                  1.735,                0.27619,                0.16894,                0.12913,                0.06932,                 1.7877,                 2.6157,                 1.8609,              0.0066563,              0.0066563,              0.0066563
                     53,                 1.7124,                 2.6262,                 1.7328,                 0.2829,                0.17101,                0.13148,                0.07066,                 1.7843,                 2.6042,                 1.8546,              0.0065907,              0.0065907,              0.0065907
                     54,                 1.6997,                 2.6205,                 1.7276,                 0.2806,                0.17364,                0.13325,                0.07188,                 1.7795,                 2.5961,                  1.853,              0.0065252,              0.0065252,              0.0065252
                     55,                 1.7005,                 2.6317,                  1.729,                0.28694,                0.17091,                0.13359,                 0.0721,                 1.7827,                 2.5909,                  1.853,              0.0064596,              0.0064596,              0.0064596
                     56,                 1.6982,                 2.6104,                 1.7227,                0.29976,                0.16851,                0.13533,                0.07286,                 1.7792,                   2.59,                 1.8457,               0.006394,               0.006394,               0.006394
                     57,                 1.6902,                 2.5916,                 1.7173,                0.26287,                0.17151,                0.13613,                0.07393,                 1.7748,                 2.5855,                 1.8488,              0.0063285,              0.0063285,              0.0063285
                     58,                 1.6966,                 2.6023,                  1.725,                0.27034,                0.17364,                0.13786,                0.07417,                 1.7739,                 2.5778,                  1.846,              0.0062629,              0.0062629,              0.0062629
                     59,                 1.6947,                 2.6014,                 1.7214,                0.28187,                0.17601,                0.13641,                0.07358,                 1.7731,                 2.5788,                 1.8457,              0.0061974,              0.0061974,              0.0061974
                     60,                 1.6883,                 2.5933,                 1.7158,                 0.2894,                0.17471,                0.13866,                0.07428,                 1.7685,                 2.5639,                 1.8408,              0.0061318,              0.0061318,              0.0061318
