                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7069,                 1.6632,                  1.876,                0.52729,                0.19726,                0.21766,                0.10431,                 2.0082,                 2.2348,                  2.624,             0.00098775,             0.00098775,             0.00098775
                     34,                 1.6881,                 1.6487,                 1.8754,                0.57366,                0.33175,                0.29344,                0.14629,                 1.9104,                 1.9565,                 2.5015,             0.00097955,             0.00097955,             0.00097955
                     35,                 1.6587,                 1.5891,                 1.8415,                0.63668,                0.29704,                0.31466,                0.15187,                  1.991,                 1.8928,                 2.6155,             0.00097136,             0.00097136,             0.00097136
                     36,                  1.697,                 1.6097,                 1.8636,                0.58356,                0.26742,                0.26478,                0.12495,                 1.9587,                 1.9508,                 2.6595,             0.00096316,             0.00096316,             0.00096316
                     37,                 1.6558,                 1.5574,                 1.8159,                0.60321,                0.32611,                0.31511,                0.14861,                 1.8661,                 1.9071,                 2.4912,             0.00095497,             0.00095497,             0.00095497
                     38,                 1.6412,                 1.5715,                 1.8333,                0.61692,                 0.3058,                0.32408,                0.13485,                 1.9435,                 2.1248,                 2.5943,             0.00094677,             0.00094677,             0.00094677
                     39,                 1.6239,                 1.5388,                 1.8083,                0.56486,                0.27277,                0.26773,                0.11756,                 1.9903,                 2.1599,                 2.5774,             0.00093858,             0.00093858,             0.00093858
                     40,                 1.6092,                 1.4825,                 1.7825,                0.66801,                0.34682,                0.35279,                0.15513,                 1.9455,                 1.9526,                  2.523,             0.00093038,             0.00093038,             0.00093038
                     41,                 1.6218,                 1.5583,                 1.8136,                0.62279,                0.30845,                0.31632,                0.14539,                 1.8844,                 1.8439,                 2.5186,             0.00092219,             0.00092219,             0.00092219
                     42,                 1.6254,                 1.5289,                 1.8113,                0.56792,                0.29876,                0.33466,                0.15552,                 1.8541,                 1.7901,                 2.5052,             0.00091399,             0.00091399,             0.00091399
                     43,                 1.6218,                 1.5038,                 1.7833,                0.65577,                0.34282,                0.33488,                0.15676,                 1.8974,                 1.8226,                 2.5037,             0.00090579,             0.00090579,             0.00090579
                     44,                 1.6062,                 1.4798,                 1.8038,                0.58449,                0.35348,                0.32941,                0.16813,                 1.8492,                 1.7797,                  2.449,              0.0008976,              0.0008976,              0.0008976
                     45,                 1.5654,                 1.4316,                 1.7464,                0.55204,                0.35193,                0.30304,                0.13182,                 2.0168,                 1.8299,                 2.6673,              0.0008894,              0.0008894,              0.0008894
                     46,                 1.5963,                 1.4912,                 1.7766,                0.51948,                0.32508,                0.29814,                0.13372,                 2.0833,                 1.7287,                 2.7372,             0.00088121,             0.00088121,             0.00088121
                     47,                 1.5782,                 1.4478,                 1.7762,                 0.5889,                0.33983,                0.29318,                0.14075,                 1.8572,                 2.0284,                 2.4312,             0.00087301,             0.00087301,             0.00087301
                     48,                 1.5446,                 1.3842,                 1.7406,                0.64003,                0.28861,                0.34811,                0.15985,                 1.9592,                 1.7567,                 2.5749,             0.00086482,             0.00086482,             0.00086482
                     49,                 1.5294,                 1.3644,                 1.7504,                0.51319,                0.37796,                0.31135,                0.15506,                 1.9306,                  1.745,                 2.5631,             0.00085662,             0.00085662,             0.00085662
                     50,                 1.5174,                 1.4055,                 1.7393,                0.55524,                0.31889,                0.31832,                 0.1507,                 1.8273,                 1.8151,                 2.4685,             0.00084843,             0.00084843,             0.00084843
                     51,                 1.5339,                 1.3878,                 1.7226,                0.56891,                 0.4011,                0.32454,                 0.1571,                 1.8932,                 1.7567,                 2.4991,             0.00084023,             0.00084023,             0.00084023
                     52,                 1.5276,                 1.3869,                 1.7334,                0.60726,                0.30954,                0.32033,                0.16645,                 1.8525,                 1.8854,                 2.4781,             0.00083204,             0.00083204,             0.00083204
                     53,                 1.4982,                 1.3515,                 1.6807,                0.60334,                0.38227,                0.36928,                0.17418,                 1.8979,                 1.6714,                 2.5374,             0.00082384,             0.00082384,             0.00082384
                     54,                 1.5068,                  1.374,                 1.7073,                0.64459,                0.29284,                0.34018,                0.16236,                 1.8903,                 1.7656,                 2.5163,             0.00081565,             0.00081565,             0.00081565
                     55,                 1.4851,                 1.3354,                 1.6872,                0.61925,                0.36879,                 0.3374,                0.15681,                 1.9778,                 1.6912,                 2.6222,             0.00080745,             0.00080745,             0.00080745
                     56,                  1.483,                 1.3197,                 1.6931,                 0.5647,                0.24738,                0.30295,                 0.1431,                 1.9198,                 1.8448,                 2.4964,             0.00079925,             0.00079925,             0.00079925
                     57,                 1.4684,                 1.2956,                 1.7069,                0.54993,                0.40671,                0.30709,                0.15411,                 1.9159,                 1.6803,                 2.5833,             0.00079106,             0.00079106,             0.00079106
                     58,                 1.4703,                 1.3267,                 1.6781,                 0.6144,                0.36741,                0.37389,                 0.1729,                  1.924,                 1.7635,                 2.5641,             0.00078286,             0.00078286,             0.00078286
                     59,                 1.4427,                 1.3116,                 1.6685,                0.53391,                0.33392,                0.32529,                0.15893,                 1.9338,                 1.7654,                 2.5527,             0.00077467,             0.00077467,             0.00077467
                     60,                 1.4449,                 1.2773,                 1.6587,                0.63882,                0.32322,                0.33728,                0.16273,                 1.9047,                  1.854,                 2.5714,             0.00076647,             0.00076647,             0.00076647
                     61,                 1.4628,                 1.2997,                 1.6797,                 0.6311,                0.39935,                0.35166,                 0.1705,                 1.9188,                 1.6734,                 2.6238,             0.00075828,             0.00075828,             0.00075828
                     62,                 1.4183,                 1.2348,                 1.6158,                0.69588,                0.33002,                0.37289,                0.19154,                 1.8589,                 1.6018,                 2.5448,             0.00075008,             0.00075008,             0.00075008
                     63,                 1.4425,                 1.2796,                 1.6699,                0.61468,                0.36508,                0.36153,                0.17345,                 1.9068,                 1.7401,                 2.6015,             0.00074189,             0.00074189,             0.00074189
                     64,                 1.4094,                 1.2027,                 1.6403,                0.53753,                0.38737,                0.35199,                0.18292,                 1.8103,                 1.6474,                 2.4802,             0.00073369,             0.00073369,             0.00073369
                     65,                 1.3735,                 1.2081,                  1.623,                0.61284,                0.35609,                0.31495,                0.16614,                  1.917,                 1.7328,                 2.5845,              0.0007255,              0.0007255,              0.0007255
                     66,                 1.3876,                 1.1872,                 1.6027,                0.58882,                0.31691,                0.31704,                0.15969,                 1.9269,                 1.8819,                 2.6014,              0.0007173,              0.0007173,              0.0007173
                     67,                  1.372,                 1.1794,                 1.6091,                0.59142,                0.39027,                0.35475,                0.17173,                 1.8812,                 1.7368,                 2.5502,             0.00070911,             0.00070911,             0.00070911
                     68,                    1.4,                 1.2057,                 1.6359,                0.62473,                0.40045,                0.34698,                0.16727,                 1.9636,                 1.8191,                 2.6791,             0.00070091,             0.00070091,             0.00070091
                     69,                 1.3786,                 1.1748,                 1.6016,                0.60503,                0.39821,                0.35489,                0.17779,                 1.8562,                 1.5957,                 2.5342,             0.00069272,             0.00069272,             0.00069272
